0000;León;Cruz Azul;Campeón de Campeones;Final
0030;Bragantino;Santos;Brasileiro Série A;
0300;Mexico;El Salvador;Gold Cup;Group A

1700;Lincoln Red Imps;CFR Cluj;UEFA Champions League;Quarter-finals
1900;Dinamo Zagreb;Omonoia Nicosia;UEFA Champions League;Quarter-finals
1930;Rapid Wien;Sparta Prague;UEFA Champions League;Quarter-finals
1945;Celtic;FC Midtjylland;UEFA Champions League;Quarter-finals
2315;Atlético Mineiro;Boca Juniors;Copa Libertadores;Round of 16
2315;Fluminense;Cerro Porteño;Copa Libertadores;Round of 16
2315;Grêmio;Liga de Quito;Copa Sudamericana;Round of 16

0130;Racing;São Paulo;Copa Libertadores;Round of 16
0130;Atlético Paranaense;América de Cali;Copa Sudamericana;Round of 16
1800;Malmö FF;HJK;UEFA Champions League;Quarter-finals
1930;Slovan Bratislava;Young Boys;UEFA Champions League;Quarter-finals
2000;Legia Warszawa;Flora;UEFA Champions League;Quarter-finals
2000;PSV Eindhoven;Galatasaray;UEFA Champions League;Quarter-finals
2315;Palmeiras;Universidad Católica;Copa Libertadores;Round of 16
2315;Arsenal;Sporting Cristal;Copa Sudamericana;Round of 16

0130;Argentinos Juniors;River Plate;Copa Libertadores;Round of 16
0130;Flamengo;Defensa y Justicia;Copa Libertadores;Round of 16
0130;Libertad;Junior;Copa Sudamericana;Round of 16
1400;Astana;Aris;UEFA Conference League;Quarter-finals
1600;FH;Rosenborg;UEFA Conference League;Quarter-finals
1745;Hammarby IF;Maribor;UEFA Conference League;Quarter-finals
1800;Plzen;Dinamo Brest;UEFA Conference League;Quarter-finals
1945;Aberdeen;BK Häcken;UEFA Conference League;Quarter-finals
2315;Independiente;Santos;Copa Sudamericana;Round of 16

0130;Internacional;Olimpia;Copa Libertadores;Round of 16
0130;Peñarol;Nacional;Copa Sudamericana;Round of 16
1930;Sturm Graz;Red Bull Salzburg;Austrian Football Bundesliga;
1930;Schalke 04;Hamburger SV;2. Bundesliga;
1945;Standard Liège;Genk;Belgian Pro League;
2015;Portimonense;Académica de Coimbra;Taça da Liga;Semi-finals

1700;Feirense;Famalicão;Taça da Liga;Semi-finals
1730;Colón;Lanús;Superliga Argentina;
1800;GD Chaves;SC Farense;Taça da Liga;Semi-finals
2030;Atlanta United FC;Columbus Crew SC;Major League Soccer;
2300;Palmeiras;Fluminense;Brasileiro Série A;

1230;FC St. Pauli;Holstein Kiel;2. Bundesliga;
1530;Nacional;Estoril;Taça da Liga;Semi-finals
2000;Flamengo;São Paulo;Brasileiro Série A;
2200;River Plate;Unión;Superliga Argentina;
2215;Atlético Paranaense;Internacional;Brasileiro Série A;

